created_at,one_minutes,sent_score,sent_label,sadness,joy,fear,disgust,anger,count
6/23/2020 15:39,9,0,neutral,0.161819,0.157933,0.099978,0.072867,0.09194,1
6/23/2020 15:39,9,0.764941,positive,0.244299,0.579637,0.09614,0.022188,0.025418,1
6/23/2020 15:39,9,-0.805513,negative,0.360569,0.083847,0.059863,0.039414,0.49124,1
6/23/2020 15:39,9,-0.755913,negative,0.414053,0.037649,0.149067,0.128913,0.147636,1
6/23/2020 15:39,9,-0.747573,negative,0.141719,0.191139,0.08519,0.078108,0.091797,1
6/23/2020 15:39,9,0.988095,positive,0.000608,0.964517,0.004016,0.000286,0.000304,1
6/23/2020 15:39,9,0.96079,positive,0.154358,0.197985,0.081486,0.066384,0.099183,1
6/23/2020 15:39,9,-0.805513,negative,0.360569,0.083847,0.059863,0.039414,0.49124,1
6/23/2020 15:39,9,0,neutral,0.284061,0.367319,0.134118,0.070403,0.050345,1
6/23/2020 15:39,9,0,neutral,0.220433,0.170383,0.405001,0.126675,0.172501,1
6/23/2020 15:39,9,-0.594497,negative,0.429857,0.122524,0.16153,0.125961,0.178671,1
6/23/2020 15:39,9,0.434791,positive,0.151117,0.488216,0.189921,0.07466,0.096694,1
6/23/2020 15:39,10,-0.996606,negative,0.105605,0.351799,0.056001,0.101982,0.142853,1
6/23/2020 15:39,10,0.732146,positive,0.200805,0.7436,0.041169,0.009121,0.023812,1
6/23/2020 15:39,10,0,neutral,0.168171,0.374345,0.085511,0.056496,0.058656,1
6/23/2020 15:39,10,-0.988914,negative,0.432526,0.004963,0.245516,0.50467,0.176253,1
6/23/2020 15:39,10,-0.915981,negative,0.045547,0.03785,0.889769,0.017321,0.025509,1
6/23/2020 15:39,10,-0.755913,negative,0.414053,0.037649,0.149067,0.128913,0.147636,1
6/23/2020 15:39,10,0,neutral,0.100173,0.097403,0.097205,0.113633,0.066304,1
6/23/2020 15:39,10,0,neutral,0.100173,0.097403,0.097205,0.113633,0.066304,1
6/23/2020 15:39,10,-0.607217,negative,0.151765,0.121578,0.011771,0.0306,0.070998,1
6/23/2020 15:39,10,0,neutral,0.112656,0.17906,0.012201,0.033138,0.095677,1
